No	TELEX	QNC	CHUNOM	ENG
16174	nois phair	nói phải	呐沛	Talk sense
16175	nois phets	nói phét	呐？	(thông tục) như nói khoác
16176	nois phieems	nói phiếm	呐泛	Chat
16177	nois quanhz	nói quanh	呐𨒺	to beat about the bush
16178	nois quaz	nói qua	呐过	Speak summarily, give a cursory expositon
16179	nois raof	nói rào	呐摷	Take oratory precautions, be guarded in what one says
16180	nois rieengz	nói riêng	呐𥢆	Speak (with somebody) in private, have a word in sombodys' ear | In particular
16181	nois rox	nói rõ	呐𤑟	Clarify
16182	nois ruwowcs	nói rước	呐？	Exaggerate
16183	nois saiz	nói sai	呐？	Tell untruths, lie
16184	nois sangr	nói sảng	呐？	Rave [in delirium]
16185	nois soix	nói sõi	呐？	xem sõi
16186	nois songf	nói sòng	呐？	Speak up, speak outone's mind
16187	nois suoongz	nói suông	呐？	Have a long tongue but a short hand
16188	nois thaamf	nói thầm	呐？	Whisper, speak under one's breath
16189	nois thaatj	nói thật	呐？	to speak the truth
16190	nois thachz	nói thach	呐？	xem thách nghĩaa 1
16191	nois thanhs tuwowngs	nói thánh tướng	呐？？	cũng nói nói thánh nói tướng To speak braggingly, to rant
16192	nois thawngr	nói thẳng	呐𥊢	Speak directly tọ | Speak up, speak out one's mind; speak plainly
16193	nois toacj	nói toạc	呐？	như nói trắng
16194	nois toetj	nói toẹt	呐？	như nói trắng
16195	nois traij	nói trại	呐？	Euphemize
16196	nois trangj	nói trạng	呐？	Talk big, brag, boast
16197	nois trawngs	nói trắng	呐𤽸	Speak bluntly
16198	nois troongr	nói trổng	呐？	(địa phương) Throw out vague innuendoes
16199	nois troongs khoongz	nói trống không	呐𥨨空	Speak to empty benches
16200	nois tuwowngs	nói tướng	呐？	Boast, rant, talk big
16201	nois xaaus	nói xấu	呐醜	Speak ill of, backbite
16202	noiz	noi	𨁡	Follow
16203	noiz gots	noi gót	𨁡𨃴	Follow the example of, tread in the steps of
16204	noj	nọ		That, the other (day) | There, over there
16205	nomf	nòm		Tinder
16206	nomz	nom	𥈶	Take a good look at, peer at | Look after, mind
16207	nongf	nòng		Core | Stretcher | Barrel | Insert, fit in
16208	nongf nuwcj	nòng nực		Oppressively hot
16209	nongj	nọng		Neck (flesh of an animal's neck)
16210	nongs	nóng	燶	hot; warm; fervet | hot | tempered; quick tempered
16211	nongs bongr	nóng bỏng	燶𤊡	xem bỏng
16212	nongs buwcs	nóng bức	燶逼	Sultry, oppressively hot
16213	nongs chayr	nóng chảy	燶沚	Melt
16214	nongs gays	nóng gáy	燶？	(khẩu ngữ) Get keyed up
16215	nongs giaanj	nóng giận	燶𢚷	Get furious
16216	nongs hooir	nóng hổi	燶？	Steaming hot, hot
16217	nongs longf	nóng lòng	燶𢚸	impatient; anxious
16218	nongs mawtj	nóng mặt	燶𩈘	như nóng mắt
16219	nongs mawts	nóng mắt	燶眜	Burn with anger
16220	nongs nayr	nóng nảy	燶？	Hot | tempered
16221	nongs nuwcj	nóng nực	燶？	như nóng bức
16222	nongs raayx	nóng rẫy	燶？	Burning hot
16223	nongs ruootj	nóng ruột	燶𦛌	Burn with impatience
16224	nongs sangs	nóng sáng	燶𤏬	(lý, kỹ thuật) Incandescent
16225	nongs soots	nóng sốt	燶𤈠	Steaming hot, boiling hot | Hot, red | hot
16226	nongz	nong		Broad flat drying basket | Stretch | Insert
16227	nongz nar	nong nả		Exert oneself to the utmost
16228	nongz nongs	nong nóng	？燶	xem nóng (láy)
16229	nonj	nọn		Handful
16230	nons	nón	𥶄	hat
16231	nons chops	nón chóp	𥶄？	(cũ) Metal | topped conical hat
16232	nons cutj	nón cụt	𥶄？	(toán) Truncated cone
16233	nons daaus	nón dấu	𥶄𧿫	(lịch sử) Soldier's conical hat
16234	nons las	nón lá	𥶄𦲿	Palm | leaf conical hat
16235	nons loongz	nón lông	𥶄？	(cũ) Feather hat
16236	nons meez	nón mê	𥶄迷	Worn | out conical hat, hoopless palm hat
16237	nons quaiz thaoz	nón quai thao	𥶄？？	(cũ) Flat palm hat with fringes
16238	nonx	nõn		Tender bud | Tender, very soft
16239	nonx naf	nõn nà		White and silkly, velvety and white
16240	nonx nuwowngf	nõn nường		Lingam and yoni
16241	nonz	non	𡽫	Mountain | Young, tender, green | Premature | Not up to the mark | New | Mild
16242	nonz nowts	non nớt	𧀒？	Young, tender, green
16243	nonz nuwowcs	non nước	𡽫渃	fatherland
16244	nonz soongz	non sông	𡽫滝	Home country, homeland
16245	nonz tayz	non tay	𧀒𢬣	Unskilled in drawing
16246	nonz trer	non trẻ	𧀒𥘷	Of tender age | Young
16247	noocs	nốc		(địa phương) Small boat. | (địa phương) Gulp
16248	noof	nồ		Frolic, gambol
16249	nooif	nồi	㘨	pot
16250	nooif aps suaats	nồi áp suất	㘨壓率	Pressure | cooker
16251	nooif chos	nồi chó	㘨㹥	Steamer
16252	nooif haaps	nồi hấp	㘨熻	Autoclave
16253	nooif howiz	nồi hơi	㘨𣱬	boiler
16254	nooif nieeuz	nồi niêu	㘨？	Post and pans
16255	nooif rangz	nồi rang	㘨？	Roasting pot
16256	nooij	nội	内|𪤠	(cũ,văn chương) Field. | She looked melancholically at the field of withered grass. | (cũ) People's living quarters | Home | made | Paternal, on the spear side | Royal (imperial) palace
16257	nooij baof	nội bào	内胞	(sinh vật) Intracelluler
16258	nooij bieens	nội biến	内變	Internal trouble
16259	nooij booj	nội bộ	内部	internal
16260	nooij cacs	nội các	内閣	cabinet
16261	nooij chieens	nội chiến	内戰	civilwar
16262	nooij chinhs	nội chính	内政	domestic policy; domestic administration
16263	nooij coongz	nội công	内功	inner force; strangth
16264	nooij cungz	nội cung	内宮	Harem
16265	nooij ddiaj	nội địa	内地	inland; interior
16266	nooij ddoocj toos	nội độc tố	内毒素	(y học) Endotoxin
16267	nooij ddoongf	nội đồng	𪤠垌	Interior field
16268	nooij ddoongj tuwf	nội động từ	内動詞	intransitive verb
16269	nooij dungz	nội dung	内容	tenor ; terms
16270	nooij gianf	nội giàn	内？	Ennuch
16271	nooij gians	nội gián	内間	planted spy
16272	nooij hamf	nội hàm	内涵	(triết học) Connotation, comprehension
16273	nooij hieenj	nội hiện	内現	(triết học) Interiorize
16274	nooij hoas	nội hóa	内貨	home made; locally made
16275	nooij hoonz	nội hôn	内婚	Endogemy
16276	nooij khoas	nội khóa	内課	curriculum
16277	nooij khoaz	nội khoa	内科	Internal medicine
16278	nooij kys sinhz	nội ký sinh	内寄生	(sinh vật) Endoparasite
16279	nooij loanj	nội loạn	内亂	Internal upheaval
16280	nooij luwcj	nội lực	内力	Internal force
16281	nooij nawngz	nội năng	内能	Internal energy
16282	nooij ngoaij	nội ngoại	内外	Parernal side and maternal side
16283	nooij nhaanz	nội nhân	内人	(cũ) My wife, my old woman (thông tục)
16284	nooij nhaapj	nội nhập	内入	(tâm lý) Introjection
16285	nooij nhaatj	nội nhật	内日	Within a day
16286	nooij quyz	nội quy	内規	Intramural regulations
16287	nooij taamz	nội tâm	内心	Innermost feelings, what is in one's heart of hearts
16288	nooij taij	nội tại	内在	Immanent, inherent
16289	nooij tangj	nội tạng	内臟	Innards, viscera
16290	nooij thaats	nội thất	内室	Interior
16291	nooij thanhf	nội thành	内城	A city's inlying areas, urban areas
16292	nooij thij	nội thị	内侍	(cũ) Court sevant
16293	nooij thuwowngz	nội thương	内傷	internal disease
16294	nooij tieeps	nội tiếp	内接	(toán học) Inscribed
16295	nooij tieets	nội tiết	内泄	endocrical
16296	nooij tieets toos	nội tiết tố	内泄素	Hormone
16297	nooij tinhf	nội tình	内情	Internal situation
16298	nooij tinhr	nội tỉnh	内省	(tâm) Introspection
16299	nooij trij	nội trị	内治	Home affairs, home administration, home policy, internal affairs,internal policy, internal administration
16300	nooij trowj	nội trợ	内助	houseword
16301	nooij trus	nội trú	内住	resident in, stay | in
16302	nooij tuwowngs	nội tướng	内相	(cũ) Wife, lady of the house
16303	nooij uwngs	nội ứng	内應	Fifth columnish, Trojan horse
16304	nooij vuj	nội vụ	内務	home affairs
16305	nooir	nổi	浽	to float; to overfloat | To rise; to develop | Be brought out
16306	nooir baatj	nổi bật	浽？	Be brought in relief, stand out in relief
16307	nooir botj	nổi bọt	浽？	Foam
16308	nooir chimf	nổi chìm	浽？	Full of vicissitudes, full of ups and downs
16309	nooir daayj	nổi dậy	浽𧻭	Rise up
16310	nooir danhz	nổi danh	浽名	Become famous, win widespread fame.
16311	nooir ddieenz	nổi điên	浽癲	Fly into a fit of madness
16312	nooir doas	nổi dóa	浽？	(địa phương) như nổi giận
16313	nooir giaanj	nổi giận	浽𢚷	to grow angry
16314	nooir khungf	nổi khùng	浽？	như nổi giận
16315	nooir leenz	nổi lên	浽𨖲	Float | Rise | Distinguish oneself
16316	nooir loanj	nổi loạn	浽亂	Rebel, revolt
16317	nooir luwar	nổi lửa	浽焒	Make (build) a fire
16318	nooir nongs	nổi nóng	浽燶	Lose one's temper
16319	nooir rox	nổi rõ	浽𤑟	Stand out in relief
16320	nooir tamz banhf	nổi tam bành	浽？？	(khẩu ngữ) Get into a tantrum
16321	nooir tieengs	nổi tiếng	浽㗂	celebrated; illustrious; famous; well | known
16322	nooir xungz	nổi xung	浽？	như nhổi giận
16323	noois	nối	𦀼	to join; to add; to unite; to connect
16324	noois dduooiz	nối đuôi	𦀼𡳪	Follow one another, life in, queue up
16325	noois doix	nối dõi	𦀼？	Continue the ancestral line, carry on the lineage
16326	noois gots	nối gót	𦀼𨃴	Tread in the footsteps of one's seniors
16327	noois khoos	nối khố	𦀼褲	Very intimate, bosom (friend)
16328	noois laij	nối lại	𦀼吏	Rejoin | Renew
16329	noois lieenf	nối liền	𦀼連	Connect
16330	noois lowif	nối lời	𦀼𠳒	Take over the floor (from someone)
16331	noois nghieepj	nối nghiệp	𦀼業	to take over; to take up; to succeed a business
16332	noois ngooiz	nối ngôi	𦀼𡾵	Succeed to the throne
16333	noois tieeps	nối tiếp	𦀼接	Succeed
16334	nooix	nỗi	餒	Feeling
16335	nooix longf	nỗi lòng	餒𢚸	One's inmost feelings
16336	nooix minhf	nỗi mình	餒𨉟	One's personal lot, one's personal plight.
16337	nooix nhaf	nỗi nhà	餒茹	One's family situation, one's family plight
16338	nooix nieemf	nỗi niềm	餒？	cũng nói nỗi riêng Innermost feelings, confidence.
16339	nooix rieengz	nỗi riêng	餒𥢆	như nỗi niềm
16340	nooiz	nôi		cũng nói nhôi Cradle
16341	nooj	nộ	怒	(địa phương) như nỏ Cross | bow, arbalest | Intimidate
16342	nooj khis	nộ khí	怒氣	Fit of anger
16343	nooj natj	nộ nạt	怒？	Intimidate
16344	noomf	nồm		South | easterly (wind) | Humid
16345	noomj	nộm		Sweet and sour grated salad | Nom is a combination of a variety of fresh vegetables, considered to be salad in Western countries. The main ingredients include grated pieces of turnip, cabbage or papaya and slices of cucumber with grated boiled lean pork. Other auxiliary ingredients are grated carrot, slices of hot chilly and broken roasted groundnuts. These are used to make the dish more colourful. All are mixed thoroughly before being soaked in vinegar, sugar, garlic, hot chilly and seasoned with salt. The mixture of ingredients is put into a dish before being covered with some spicy vegetables. To try a mouthful of Nom is to enjoy a combination of all the tastes, including sour, hot, sweet, salty and fragrant. The dish helps digest at meal and party times. It can become an addictive aid to assist the real connoisseur to enjoy more food
16346	noomz	nôm	喃	Chinese | transcribed Vietnamese | Prose | like, simple, easy to understand | In opposition to the Chinese's Hán language, Nôm (slantingly pronounced from "Nam") language belonged to Việt ethnic group. It borrowed the Hán hieroglyphic scripts to transcribe the Vietnamese language. Nôm language might appear in the 8th century. The memorable poems in Nôm language belonged to Hàn Thuyên and Nguyễn Sĩ Cố (in the late 13th century) The birth of Nôm language not only marked the Việt people's mature national consciousness, but also brought a brilliant development to the Vietnamese literature between the late 18th and early 19th centuries. For complication and imperfection, Nôm language was replaced by quốc ngữ (national language)
16347	noomz naz	nôm na	喃？	như nôm nghĩa 2
16348	noongf	nồng	濃	Hot | Strong | Warm, ardent, fervid.
16349	noongf chays	nồng cháy	濃𤈜	Ardent, fervid
16350	noongf ddooj	nồng độ	濃度	(hóa học) Concentration
16351	noongf dduwowmj	nồng đượm	濃？	Ardent and deep | felt (of sentiments)
16352	noongf haauj	nồng hậu	濃厚	warm
16353	noongf nanf	nồng nàn	濃？	deep; intense
16354	noongf nawcj	nồng nặc	濃？	Very strong
16355	noongf nhieetj	nồng nhiệt	濃熱	Warm, ardent, fervid
16356	noongf noongx	nồng nỗng	濃？	Stark naked, stripped to the buff
16357	noongf nuwcj	nồng nực	濃？	Sultry
16358	noongf thawms	nồng thắm	濃？	Passionate, ardent
16359	noongs	nống		(địa phương) Broad flat drying basket | Plaiting model | Prop up | (ít dùng) Spoil
16360	noongz	nông	農	shallow ; superficial; not deep
16361	noongz canj	nông cạn		superficial; shallow
16362	noongz choenf	nông choèn		Unnoticeably shallow
16363	noongz coongz nghieepj	nông công nghiệp	農工業	Argo | industrial
16364	noongz cuj	nông cụ	農具	Farming implement
16365	noongz daanz	nông dân	農民	farmer ; cultivator
16366	noongz giangz	nông giang	農江	Irrigation canal
16367	noongz giaz	nông gia	農家	(cũ) Cultivator, agriculturist
16368	noongz hoas hocj	nông hóa học	農化學	Argo | chemistry
16369	noongz hocj	nông học	農學	Argonomy
16370	noongz hooij	nông hội	農會	Peasants' association
16371	noongz hooj	nông hộ	農戶	Farmer household
16372	noongz laamz	nông lâm	農林	Agriculture and silvicultue, agriculture and forestry
16373	noongz lichj	nông lịch	農曆	Farming calendar
16374	noongz nghieepj	nông nghiệp	農業	Agriculture, farming | CEREMONIES STILL AT THE HEART OF AGRICULTURE IN VIETNAM: Lễ Hạ Điền is a popular ceremony which bears a religious significance for Vietnamese farmers. During the ceremony, farmers pray to heaven to grant them blessings. As Vietnam is an agricultural country where labour | intensive wet | rice is grown, the life of the majority of people is closely linked with the land. Hence, almost all ceremonies and rituals are connected with farming. Wet | rice is grown in very difficult natural conditions, especially in the Red River Delta and central Vietnam where natural calamities | typhoons, flooding, drought and pests | are a constant menace for the peasantry. In the past, in the absence of science and technology, Vietnamese farmers believed in mysterious forces which decided their success or failure. This faith is found in such folk songs as "Thanks to heaven which grants us good weather conditions" or "I pray to heaven to bring rain so that I can have enough water to drink and cover my fields". Heaven (or Trời in Vietnamese) is a common appellation for the spirit world. The belief in the power of spirits is handed down from generation to generation, so that even now our farmers turn to spirits for assistance. Hence the existence of so many farming | related ceremonies. In the past, there were two main rice crops: the Mùa and the Chiêm Depending on climate and local understanding, farmers regard the Chiêm as the main crop, or vice versa. For this reason, Lễ Hạ Điền differs from one region to another. In many villages, the ceremony is regarded as a major event in the life of the peasantry. Although the ceremonies may differ in scale, the rituals have many common features. On the day of the ceremony, early in the morning, village notables called Già Làng (elder people) in the central highlands make their way to the communal house where other villagers await. There they pay tribute to Thành Hoàng (tutelary god) and Thần Nông (god of agriculture) and other divinities; begging them to bring security, prosperity and bumper crops. Afterwards, the villagers head to a chosen location, usually not too far from the communal house, where the ceremony inaugurating the farming season takes place. In a first | class rice field already meticulously ploughed and harrowed, a bamboo tree is planted with all its branches and leaves. The tree is called Cây Ne^u. Ears of rice are attached to the top of the tree, and having reported to the god of agriculture, they start the ceremony proper. To start the ball rolling, a rice transplant ritual is performed. For this, many Chúa Đồng (Field Lords) are selected. In some villages, only one Chúa Đồng is singled out. They are mostly elderly people, versed in farming techniques and the soil. In addition, they must be kind | hearted people having extended families whose members live in perfect concord. Last but not least, they should not be mourning People hope that the good qualities of the Chúa Đồng will blend into the rice plants and impart great vitality to them. Having paid their respects to the god of agriculture, the Chúa Đồng step into the field and transplant rice around the bamboo tree. In the meantime, the villagers shout cheerfully and beat drums (mimicking natural disaster), targeting the Chúa Đồng. If these people can stand firm on their feet and manage to perform their task well, people believe that their wish will come true Lễ Hạ Điền is held in a very simple way, but it is very dear to the farmers. They pin all their hopes on the good health, prosperity and happiness that the ceremony promises. Furthermore, it is in this ceremony that the spirit of the community comes to the surface. In their hearts, everyone pledges to join forces for the common cause
16375	noongz sanr	nông sản	農産	agricultural produce; farm produce
16376	noongz sowf	nông sờ		Shallow, not deep
16377	noongz tangz	nông tang	農桑	(cũ) Agriculture and silk | worm breeding
16378	noongz thoonz	nông thôn	農村	Countryside, country
16379	noongz traij	nông trại	農寨	Farm
16380	noongz trangz	nông trang	農莊	Farm
16381	noongz truwowngf	nông trường	農場	Sovkhoz, state | run farm
16382	noongz vaanj	nông vận	農運	(cũ) Agritation and propaganda among the peasant agitprop
16383	noongz vuj	nông vụ	農務	(ít dùng) Farming season, agricultural crop
16384	noonz	nôn		cũng nói mửa Vomit, throw up. | (địa phương) Be bursting tọ | (địa phương) Feel tickled
16385	noonz muwar	nôn mửa		xem nôn
16386	noonz naoz	nôn nao		Feel sick
16387	noonz nongs	nôn nóng	？燶	Be eager to, be bursting tọ | Overhasty
16388	noopj	nộp		hand in, pay
16389	noor	nổ	弩	to explode; to blow up ; to burst
16390	noor bungf	nổ bùng	弩𩅛	Burst, break out
16391	noor chaamj	nổ chậm	弩？	Delayed | action
16392	noor minf	nổ mìn	弩？	Set off (explode) a mine
16393	noor sungs	nổ súng	弩銃	động từ. to fire
16394	noor tungz	nổ tung	弩？	Blow up
16395	noos	nố		Amount, sum
16396	noots	nốt		spot; mark; (Bot) cecidium; gall | to finish
16397	noots reex	nốt rễ		(thực vật) Nodosity
16398	noox luwcj	nỗ lực	努力	Exert all one's strength, exert oneself to the utmost
16399	nooz	nô	奴	Frolic, gambol
16400	nooz boocj	nô bộc	奴僕	(cũ) Servant
16401	nooz dduaf	nô đùa		to frolic
16402	nooz dichj	nô dịch	奴役	Enslave, subdue, subjugate
16403	nooz enz	Nô en	Noel	Christmas
16404	nooz giownx	nô giỡn		như nô đùa
16405	nooz leej	nô lệ	奴隸	slave
16406	nooz nuwcs	nô nức		flock
